unix;low;high;open;close;volume;date
1455321600;338.6;350.0;339.79;347.2;350.58494033;2016-02-13 01:00:00;None
1455408000;345.0;362.38;347.13;362.38;384.45617604;2016-02-14 01:00:00;None
1455494400;353.0;364.0;361.64;356.49;495.85150639;2016-02-15 01:00:00;None
1455580800;356.14;367.04;356.63;366.24;630.97965357;2016-02-16 01:00:00;None
1455667200;364.69;381.0;366.35;373.53;915.85856689;2016-02-17 01:00:00;None
1455753600;373.01;382.68;374.06;379.2;520.19618199;2016-02-18 01:00:00;None
1455840000;374.5;384.61;379.54;379.25;336.95134855;2016-02-19 01:00:00;None
1455926400;377.58;398.5;378.04;391.82;468.85827985;2016-02-20 01:00:00;None
1456012800;388.47;403.79;392.49;394.33;1104.35884053;2016-02-21 01:00:00;None
1456099200;388.76;398.64;394.25;397.61;477.18181328;2016-02-22 01:00:00;None
1456185600;375.78;398.38;397.15;380.96;494.46935816;2016-02-23 01:00:00;None
1456272000;373.18;387.29;381.66;385.69;632.79566377;2016-02-24 01:00:00;None
1456358400;372.22;387.79;385.69;384.15;491.75684583;2016-02-25 01:00:00;None
1456444800;376.87;392.96;384.15;392.96;518.50499834;2016-02-26 01:00:00;None
1456531200;392.53;397.94;393.0;395.92;299.52772185;2016-02-27 01:00:00;None
1456617600;387.01;398.0;395.56;396.68;451.17185175;2016-02-28 01:00:00;None
1456704000;393.45;404.98;396.44;400.8;661.58311095;2016-02-29 01:00:00;None
1456790400;393.99;401.99;400.8;398.97;519.28162757;2016-03-01 01:00:00;None
1456876800;386.38;399.95;398.97;386.45;605.84416957;2016-03-02 01:00:00;None
1456963200;376.19;389.42;387.01;382.88;1026.26960752;2016-03-03 01:00:00;None
1457049600;368.34;386.41;383.24;370.84;676.65606517;2016-03-04 01:00:00;None
1457136000;350.73;372.17;370.84;360.5;1352.84219927;2016-03-05 01:00:00;None
1457222400;356.24;371.98;360.53;366.7;722.52668685;2016-03-06 01:00:00;None
1457308800;362.81;378.67;366.99;375.11;730.33781281;2016-03-07 01:00:00;None
1457395200;370.29;379.15;375.04;373.76;790.35178692;2016-03-08 01:00:00;None
1457481600;372.36;383.93;373.76;376.19;698.28945678;2016-03-09 01:00:00;None
1457568000;370.18;380.41;376.23;371.47;3087.98878392;2016-03-10 01:00:00;None
1457654400;371.79;378.56;372.43;375.71;1119.61063916;2016-03-11 01:00:00;None
1457740800;364.23;376.86;375.55;368.9;381.38312543;2016-03-12 01:00:00;None
1457827200;367.78;373.75;368.65;370.05;277.44660791;2016-03-13 01:00:00;None
1457913600;369.0;374.04;370.05;373.14;634.21641292;2016-03-14 01:00:00;None
1458000000;372.11;375.94;373.57;374.5;554.02837629;2016-03-15 01:00:00;None
1458086400;371.39;383.93;374.55;371.91;944.76426645;2016-03-16 01:00:00;None
1458172800;369.01;373.98;371.92;370.8;650.57597681;2016-03-17 01:00:00;None
1458259200;356.97;370.83;370.77;364.59;1152.06547048;2016-03-18 01:00:00;None
1458345600;359.79;374.74;364.34;364.14;421.21926319;2016-03-19 01:00:00;None
1458432000;363.16;368.0;363.67;366.37;333.18916588;2016-03-20 01:00:00;None
